,Time,y_true,GMR,GMR_var,DPORMRM,DPORMRM_var,DPIRMRM,DPIRMRM_var,DPMRM,DPMRM_var,DPR2MRM,DPR2MRM_var
0,2022-07-15 00:00:00,0.38946667500000004,0.41129081670219003,0.006816043263552661,0.4187640382791244,0.002807285468130659,0.4302858284317411,0.00253753750094525,0.4316608217626228,0.002462380659788596,0.4340786894955365,0.0012834549662302324
1,2022-07-15 00:36:00,0.3826999815,0.3858918034643094,0.006816043263552661,0.37347780234800493,0.0028097877301030993,0.3953943174643002,0.0025394383899519186,0.3981708952469013,0.0024646457580252603,0.41135537140668055,0.0012889451728597923
2,2022-07-15 01:12:00,0.4329000245,0.43319045932052325,0.006816043263552661,0.43995311797194947,0.002813579592375123,0.44809968015281665,0.0025391777039928684,0.4506305486262212,0.0024646472160352794,0.4325574118930061,0.0012938615237357604
3,2022-07-15 01:48:00,0.42310000600000003,0.4455877834332643,0.006816043263552661,0.4445655032622315,0.0028084814795555127,0.4553724528102813,0.0025401439593067425,0.45685333388474675,0.002465110688924301,0.43274715852251905,0.0012925440418839376
4,2022-07-15 02:24:00,0.42773333750000003,0.4225499668928447,0.006816043263552661,0.41190416377268635,0.0028105862401694055,0.4310516607138999,0.00254042585857529,0.4331901200042958,0.002465525801117485,0.43690304543838865,0.0012915734109801966
5,2022-07-15 03:00:00,0.421466675,0.44378314352821424,0.006816043263552661,0.45712260193740367,0.002810727725922728,0.46808649843361444,0.0025404926379374022,0.4690941519101924,0.0024653751347346623,0.47745897616261224,0.0012864711345043293
6,2022-07-15 03:36:00,0.41163333150000003,0.4209161959325364,0.006816043263552661,0.426112748997657,0.002806897067333254,0.43698610098660023,0.0025371339829451493,0.4386314156095083,0.002462252947091409,0.44906987464764453,0.0012837675574548027
7,2022-07-15 04:12:00,0.4296999815,0.4178174490418469,0.006816043263552661,0.42062307740317356,0.0028080714072097035,0.43261267489751704,0.002537430545847554,0.43472316235541575,0.002462613500558766,0.4433319615772464,0.0012855817170236354
8,2022-07-15 04:48:00,0.4218333435,0.4380250995636037,0.006816043263552661,0.466420304499229,0.0028135759547074164,0.46375921460619784,0.002538280310531147,0.4652678565271701,0.0024632504114419185,0.47043570022938985,0.0012843251337056676
9,2022-07-15 05:24:00,0.432933319,0.40775515334751977,0.006816043263552661,0.42145200584792214,0.0028076560523431935,0.4309366632003459,0.0025367118997517693,0.4328011892311126,0.002461486816540589,0.45491012574234385,0.0012807230467209404
10,2022-07-15 06:00:00,0.4349333495,0.40729349976331397,0.006816043263552661,0.41124672853774197,0.0028175003158818768,0.4272808519885162,0.0025408480965177786,0.429842936790259,0.002466663864520173,0.45768319078495145,0.001293408927333886
11,2022-07-15 06:36:00,0.460266693,0.4110822946923429,0.006816043263552661,0.4337237728063486,0.0028143315685993757,0.44041433231811977,0.00253911310390297,0.4424599639813922,0.002464335864546732,0.48661463388623283,0.0012869152581662146
12,2022-07-15 07:12:00,0.4710666505,0.46253865782112163,0.006816043263552661,0.47865539151696523,0.0028152328986249995,0.48510242831280415,0.002542798597434628,0.4858072627463119,0.0024679137041512867,0.4757179142111428,0.0012913106409607107
13,2022-07-15 07:48:00,0.47936666850000004,0.449333933045412,0.006816043263552661,0.4600041521436391,0.0028159588376467674,0.4666428819746991,0.0025385319711193123,0.4687631783193657,0.002463991428614672,0.4813601481482909,0.0012848518435942269
14,2022-07-15 08:24:00,0.478100006,0.4650919913941634,0.006816043263552661,0.4970685918567931,0.002812823198745095,0.49173475546684875,0.0025359975840304337,0.49284449423105203,0.0024608439651319495,0.5016370584143476,0.0012774417302088559
15,2022-07-15 09:00:00,0.478399994,0.4498608940451703,0.006816043263552661,0.4683722052845723,0.0028088400261024465,0.47115516782541966,0.0025359540399869335,0.4726859619924609,0.0024605548368175443,0.4812689553346401,0.0012777927450516844
16,2022-07-15 09:36:00,0.456600006,0.4873982101299307,0.006816043263552661,0.490905866519101,0.0028120002032059987,0.49876301563495823,0.002540264194275665,0.4996275866179677,0.0024654770856241833,0.4964931446942134,0.001280822247180382
17,2022-07-15 10:12:00,0.4197666625,0.5034949911561479,0.006816043263552661,0.495972485865581,0.00282346777943492,0.5000083209416343,0.002541769724752455,0.49977349988848424,0.0024668548614880967,0.4505552512911722,0.0012880402829365519
18,2022-07-15 10:48:00,0.380600006,0.46440778953043527,0.006816043263552661,0.4237533395029695,0.0028189323212082004,0.44080684507558554,0.002540947350478219,0.4420869166391088,0.0024658772698229526,0.3971901151290913,0.0012851390231447312
19,2022-07-15 11:24:00,0.32696667500000004,0.36217084586417736,0.006816043263552661,0.3135608721863531,0.0028266039716255426,0.3358089025709788,0.0025395684786724227,0.33845625193924656,0.0024645340919853295,0.29483966365745135,0.0012932598694201441
20,2022-07-15 12:00:00,0.3004666445,0.39630347277610806,0.006816043263552661,0.3581133591908837,0.0028172926566144263,0.37761330954195294,0.0025369649210988283,0.37812215805401345,0.0024616287608389257,0.3296516061807899,0.0012835899046747322
21,2022-07-15 12:36:00,0.292966675,0.37515177357788476,0.006816043263552661,0.34783377426214285,0.0028228300754642444,0.35931523340142263,0.002539227754804826,0.36133918107994106,0.0024642716546534166,0.3435540613650396,0.0012859793913731342
22,2022-07-15 13:12:00,0.307399994,0.41138812756940557,0.006816043263552661,0.3550069140763673,0.002862137262294883,0.38297850934261146,0.0025558857079346097,0.38262183443713893,0.002482753746909377,0.30771633677016286,0.001325926937604208
