,ELBO,NumberofCluster
83,52310.20306399392,4.0
84,52316.14021537108,4.0
85,52319.11313427278,4.0
86,52320.90141271011,4.0
87,52322.42062447998,4.0
88,52323.89548238612,4.0
89,52325.4443951346,4.0
90,52327.344468610194,4.0
91,52330.71381933245,4.0
92,52336.84655634599,4.0
93,52341.10522108335,4.0
94,52343.21321497191,4.0
95,52344.77035536322,4.0
96,52346.16578433406,4.0
97,52347.48055385482,4.0
98,52348.74171359789,4.0
99,52349.96371002383,4.0
100,52351.156437368925,4.0
101,52352.32783788622,4.0
102,52353.48559279233,4.0
103,52354.63933454652,4.0
104,52355.805496184876,4.0
105,52357.02212594819,4.0
106,52358.40854830526,4.0
107,52360.47232980892,4.0
108,52365.18368180856,4.0
109,52371.549784400784,4.0
110,52375.121217091044,4.0
111,52377.76229223827,4.0
112,52380.187794140984,4.0
113,52382.39954402088,4.0
114,52384.3939976034,4.0
115,52386.25933849193,4.0
116,52388.171158852696,4.0
117,52390.45412807418,4.0
118,52393.93571941672,4.0
119,52401.8716731475,4.0
120,52415.849140086386,4.0
121,52426.891305780795,4.0
122,52433.020293455746,4.0
123,52437.35864361009,4.0
124,52443.52980307648,4.0
125,52449.65415770599,4.0
126,52457.57311936996,4.0
127,52466.56897470536,4.0
128,52473.432646192785,4.0
129,52477.94674856878,4.0
130,52490.55286503616,4.0
131,52494.65075538267,4.0
132,52499.096545336346,4.0
133,52503.346279049125,4.0
134,52505.241599525936,4.0
135,52506.32066935841,4.0
136,52507.248762177966,4.0
137,52508.14898563252,4.0
138,52509.0432178685,4.0
139,52509.93595680535,4.0
140,52510.828299650595,4.0
141,52511.72060715109,4.0
142,52512.613107645215,4.0
143,52513.50603966012,4.0
144,52514.39967473035,4.0
145,52515.294310620244,4.0
146,52516.19026070177,4.0
147,52517.08784572985,4.0
148,52517.98738863478,4.0
149,52518.889211442074,4.0
150,52519.79363356489,4.0
151,52520.70097092595,4.0
152,52521.611535665106,4.0
153,52522.52563630046,4.0
154,52523.443578316655,4.0
155,52524.365665006895,4.0
156,52525.29219861555,4.0
157,52526.223481674606,4.0
158,52527.15981844334,4.0
159,52528.101516389055,4.0
160,52529.04888771337,4.0
161,52530.0022507706,4.0
162,52530.96193149031,4.0
163,52531.92826467436,4.0
164,52532.901595261406,4.0
165,52533.882279516976,4.0
166,52534.870686137365,4.0
167,52535.867197354135,4.0
168,52536.87221001559,4.0
169,52537.88613663935,4.0
170,52538.90940651556,4.0
171,52539.942466815606,4.0
172,52540.98578377162,4.0
173,52542.03984389042,4.0
174,52543.105155269695,4.0
175,52544.18224901975,4.0
176,52545.271680731144,4.0
177,52546.37403214625,4.0
178,52547.489912886485,4.0
179,52548.61996238549,4.0
180,52549.76485195468,4.0
181,52550.92528705681,4.0
182,52552.102009761606,4.0
183,52553.29580145945,4.0
184,52554.507485763905,4.0
185,52555.73793177271,4.0
186,52556.98805756068,4.0
187,52558.25883404377,4.0
188,52559.5512892336,4.0
189,52560.86651289149,4.0
190,52562.20566167001,4.0
191,52563.5699647538,4.0
192,52564.96073013283,4.0
193,52566.37935151552,4.0
194,52567.82731597238,4.0
195,52569.30621247441,4.0
196,52570.81774132904,4.0
197,52572.36372473203,4.0
198,52573.946118566244,4.0
199,52575.56702552637,4.0
200,52577.22870993711,4.0
201,52578.9336143348,4.0
202,52580.68437818937,4.0
203,52582.48385900796,4.0
204,52584.335156273424,4.0
205,52586.2416385952,4.0
206,52588.20697459739,4.0
207,52590.235168256375,4.0
208,52592.330599239715,4.0
209,52594.49806937821,4.0
210,52596.74285613229,4.0
211,52599.07077443542,4.0
212,52601.48824849533,4.0
213,52604.002395391566,4.0
214,52606.62112288385,4.0
215,52609.3532442442,4.0
216,52612.208613711926,4.0
217,52615.19828698415,4.0
218,52618.33471230078,4.0
219,52621.63195915194,4.0
220,52625.10599338108,4.0
221,52628.77501014166,4.0
222,52632.65983919043,4.0
223,52636.78444145687,4.0
224,52641.17652160786,4.0
225,52645.86828911008,4.0
226,52650.8974111425,4.0
227,52656.308215523975,4.0
228,52662.15322258788,4.0
229,52668.49511410998,4.0
230,52675.40928934522,4.0
231,52682.98721856263,4.0
232,52691.3408929152,4.0
233,52700.60880051271,4.0
234,52710.964055417266,4.0
235,52722.62560543713,4.0
236,52735.87390567012,4.0
237,52744.14054995611,4.0
238,52745.736516226956,4.0
239,52747.33979418505,4.0
240,52748.97862908303,4.0
241,52750.65831675594,4.0
242,52752.381376356425,4.0
243,52754.14997668993,4.0
244,52755.96632865662,4.0
245,52757.83276306827,4.0
246,52759.751755624944,4.0
247,52761.72594252041,4.0
248,52763.75813478589,4.0
249,52765.85133327797,4.0
250,52768.00874495352,4.0
251,52770.23380073714,4.0
252,52772.530175313164,4.0
253,52774.9018090861,4.0
254,52777.35293249212,4.0
255,52779.888093148445,4.0
256,52782.51218605146,4.0
257,52785.23048730327,4.0
258,52788.04869184249,4.0
259,52790.97295574936,4.0
260,52794.0099437133,4.0
261,52797.16688253547,4.0
262,52800.45162144856,4.0
263,52803.87270034007,4.0
264,52807.4394271361,4.0
265,52811.16196573904,4.0
266,52815.051436270565,4.0
267,52819.12002968669,4.0
268,52823.38113916974,4.0
269,52827.84951123989,4.0
270,52832.54142011482,4.0
271,52837.474869557176,4.0
272,52842.66982743208,4.0
273,52848.14849915226,4.0
274,52853.93564792808,4.0
275,52860.05897112433,4.0
276,52866.54954466095,4.0
277,52873.442350060475,4.0
278,52880.77690248813,4.0
279,52888.59800304714,4.0
280,52896.956644574006,4.0
281,52905.911108614186,4.0
282,52915.52830174235,4.0
283,52925.885394058816,4.0
284,52937.07184153577,4.0
285,52949.19190044183,4.0
286,52962.36777742641,4.0
287,52976.74360847726,4.0
288,52992.490528884555,4.0
289,53009.8131939677,4.0
290,53028.95824986031,4.0
291,53050.225455658285,4.0
292,53073.98245457006,4.0
293,53096.54625150893,4.0
294,53117.391083622344,4.0
295,53140.89212684375,4.0
296,53167.57046161081,4.0
297,53185.8053261264,4.0
298,53193.207732207295,4.0
299,53197.37334457766,4.0
300,53197.374562721954,4.0
