Time,Unnamed: 0,y_true,GMR,GMR_var,DPORMRM,DPORMRM_var,DPIRMRM,DPIRMRM_var,DPMRM,DPMRM_var,DPR2MRM,DPR2MRM_var,DPMRM_UB,DPMRM_LB,DPIRMRM_UB,DPIRMRM_LB,DPORMRM_UB,DPORMRM_LB,DPR2MRM_UB,DPR2MRM_LB
2022-07-15 00:00:00,0,778.9333499999999,822.5816334043799,0.0068160432635526,837.5280765582488,0.0028072854681306,860.5716568634822,0.0025375375009452,863.3216435252457,0.0024623806597885,868.1573789910731,0.0012834549662302,1057.841375610641,668.8019114398502,1058.0376444525461,663.1056692744183,1045.2246615505928,629.8314915659046,1008.5927107031451,727.7220472790008
2022-07-15 00:36:00,1,765.399963,771.7836069286188,0.0068160432635526,746.9556046960097,0.002809787730103,790.7886349286003,0.0025394383899519,796.3417904938026,0.0024646457580252,822.710742813361,0.0012889451728597,990.9509695581993,601.7326114294059,988.328570322325,593.2486995348758,954.7447338049569,539.1664755870626,963.4461225308695,681.9753630958525
2022-07-15 01:12:00,2,865.800049,866.3809186410464,0.0068160432635526,879.9062359438988,0.0028135795923751,896.1993603056331,0.0025391777039928,901.2610972524424,0.0024646472160352,865.1148237860123,0.0012938615237357,1095.8703338792873,706.6518606255976,1093.7291562115545,698.6695643997118,1087.83552548309,671.9769464047079,1006.1183475658535,724.111300006171
2022-07-15 01:48:00,3,846.2000119999999,891.1755668665286,0.0068160432635526,889.1310065244629,0.0028084814795555,910.7449056205626,0.0025401439593067,913.7066677694934,0.0024651106889243,865.494317045038,0.0012925440418839,1108.3342015109615,719.0791340280251,1108.3122818148383,713.1775294262868,1096.8718301664271,681.3901828824988,1006.4260337208974,724.5626003691784
2022-07-15 02:24:00,4,855.4666749999999,845.0999337856894,0.0068160432635526,823.8083275453725,0.0028105862401694,862.1033214277998,0.0025404258585752,866.3802400085916,0.0024655258011174,873.8060908767771,0.0012915734109801,1061.024160207221,671.7363198099622,1059.681660101881,664.5249827537185,1031.6269802234685,615.9896748672766,1014.6848815533181,732.9273002002363
2022-07-15 03:00:00,5,842.93335,887.5662870564283,0.0068160432635526,914.2452038748072,0.0028107277259227,936.1729968672288,0.0025404926379374,938.1883038203847,0.0024653751347346,954.9179523252243,0.0012864711345043,1132.8262766581272,743.5503309826423,1133.7539323635494,738.592061370908,1122.0690873136907,706.4213204359238,1095.518201404829,814.3177032456197
2022-07-15 03:36:00,6,823.2666629999999,841.8323918650727,0.0068160432635526,852.225497995314,0.0028068970673332,873.9722019732003,0.0025371339829451,877.2628312190166,0.0024622529470914,898.1397492952889,0.0012837675574548,1071.777518803747,682.7481436342862,1071.4224884645791,676.5219154818215,1059.907714603932,644.5432813866961,1038.5921817942435,757.6873167963342
2022-07-15 04:12:00,7,859.399963,835.6348980836939,0.0068160432635526,841.246154806347,0.0028080714072097,865.2253497950339,0.0025374305458475,869.4463247108314,0.0024626135005587,886.6639231544929,0.0012855817170236,1063.9752533949354,674.9173960267274,1062.687175826576,667.7635237634918,1048.9718115552116,633.5204980574823,1027.215560983696,746.1122853252898
2022-07-15 04:48:00,8,843.666687,876.0501991272074,0.0068160432635526,932.8406089984579,0.0028135759547074,927.5184292123955,0.0025382803105311,930.5357130543402,0.0024632504114419,940.8714004587796,0.0012843251337056,1125.0897958240955,735.981630284585,1125.0133166493747,730.0235417754163,1140.769764122062,724.911453874854,1081.3543308616358,800.3884700559233
2022-07-15 05:24:00,9,865.866638,815.5103066950394,0.0068160432635526,842.9040116958441,0.0028076560523431,861.8733264006918,0.0025367118997517,865.6023784622251,0.0024614868165405,909.8202514846876,0.0012807230467209,1060.0868020485061,671.1179548759443,1059.3071880768098,664.4394647245737,1050.614305043875,635.1937183478134,1050.1060405908263,769.5344623785488
2022-07-15 06:00:00,10,869.866699,814.5869995266278,0.0068160432635526,822.4934570754838,0.0028175003158818,854.5617039770324,0.0025408480965177,859.685873580518,0.0024666638645201,915.3663815699027,0.0012934089273338,1054.3747114931257,664.9970356679102,1052.1564614741117,656.966946479953,1030.5675709242903,614.4193432266774,1056.345241477983,774.3875216618226
2022-07-15 06:36:00,11,920.533386,822.1645893846858,0.0068160432635526,867.4475456126972,0.0028143315685993,880.8286646362394,0.0025391131039029,884.9199279627844,0.0024643358645467,973.2292677724655,0.0012869152581662,1079.5168720008921,690.3229839246767,1078.3559478145728,683.301381457906,1075.4046195864487,659.4904716389459,1113.8537842092699,832.604751335661
2022-07-15 07:12:00,12,942.133301,925.0773156422431,0.0068160432635526,957.3107830339303,0.0028152328986249,970.2048566256082,0.0025427985974346,971.6145254926238,0.0024679137041512,951.4358284222856,0.0012913106409607,1166.3526808281129,776.8763701571349,1167.8754421147473,772.5342711364691,1165.3011549587618,749.320411109099,1092.3002875071043,810.5713693374671
2022-07-15 07:48:00,13,958.7333369999999,898.6678660908241,0.0068160432635526,920.0083042872782,0.0028159588376467,933.2857639493982,0.0025385319711193,937.5263566387314,0.0024639914286146,962.7202962965819,0.0012848518435942,1132.1097009636333,742.9430123138294,1130.7904415674425,735.7810863313539,1128.0254907955432,711.9911177790134,1103.2320302172973,822.2085623758664
2022-07-15 08:24:00,14,956.200012,930.1839827883268,0.0068160432635526,994.1371837135862,0.002812823198745,983.4695109336974,0.0025359975840304,985.6889884621039,0.0024608439651319,1003.2741168286951,0.0012774417302088,1180.1480142382372,791.2299626859708,1180.875572834655,786.0634490327398,1202.0385218554923,786.2358455716801,1143.380078882708,863.1681547746822
