,T35111_MPD.PV,TI35112.PV,TI35111a3.PV,TI35111a9.PV
2022-04-01 00:00:00,0.5889000245,0.0,0.9796608239012761,0.8598792488746607
2022-04-01 00:36:00,0.551,0.031340560266180095,0.9749999110169947,0.860938087620438
2022-04-01 01:12:00,0.526866699,0.031501556294944714,0.9703384896583946,0.8615582856299095
2022-04-01 01:48:00,0.4958666685,0.01728024042073629,0.9686439820454327,0.8604850940456448
2022-04-01 02:24:00,0.48156668100000005,0.003434581946978641,0.9669484574838352,0.8609692876653536
2022-04-01 03:00:00,0.4663333435,0.3825802296876677,0.9572035132863483,0.8469122975733523
2022-04-01 03:36:00,0.4118333435,0.034077492755178705,0.9347456941971046,0.8204349089983012
2022-04-01 04:12:00,0.352533325,0.04201996350756681,0.8868641592216138,0.7580179310706363
2022-04-01 04:48:00,0.32296667500000004,0.12831383492540518,0.8338980844586006,0.7134210039601978
2022-04-01 05:24:00,0.307533325,0.04958677685950413,0.8305080522840411,0.7010574034619292
2022-04-01 06:00:00,0.34836666850000003,0.007674144037780401,0.8487285853922444,0.7277095204667585
2022-04-01 06:36:00,0.463966675,0.0064398411505849525,0.8567795304510861,0.7314370057803501
2022-04-01 07:12:00,0.5346999510000001,0.0,0.8563559035478461,0.7296256448503389
2022-04-01 07:48:00,0.5657333375,0.04883546205860254,0.8567795304510861,0.7189897826191061
2022-04-01 08:24:00,0.49953332500000003,0.005205538263389503,0.7788133667050676,0.6228900458485267
2022-04-01 09:00:00,0.8770666505000001,0.05463131909412901,0.5809318063058608,0.42836696634112137
2022-04-01 09:36:00,0.6775,0.04169797145003756,0.6800849084314029,0.5726039152662388
2022-04-01 10:12:00,0.5427000120000001,0.06740367070945583,0.7432200627694598,0.6191513154335571
2022-04-01 10:48:00,0.507899994,0.07196522485778684,0.7771183506177879,0.672283887859269
2022-04-01 11:24:00,0.6422333375,0.04126864870666523,0.8656777293164089,0.7685065438107301
2022-04-01 12:00:00,0.7920667115,0.021680798540302672,0.9093214698365406,0.8120770998499172
2022-04-01 12:36:00,0.928966614,0.00037565740045078885,0.9614402907930719,0.8569778900452345
2022-04-01 13:12:00,0.7855,0.015401953418482344,0.9872881420568769,0.8852304098782202
2022-04-01 13:48:00,0.7131999510000001,0.023129762799184286,0.9762707917267157,0.8769343465592208
2022-04-01 14:24:00,0.6352333375,0.03198454438123859,0.9716098788424343,0.8845103553685121
2022-04-01 15:00:00,0.4946666565,0.3654073199527745,0.9775421809107554,0.8953171840319722
2022-04-01 15:36:00,0.46369998149999997,0.020768487710636472,0.974152148736195,0.8941641317822828
2022-04-01 16:12:00,0.433966675,0.03531179564237415,0.9618639176963129,0.8902120306800718
2022-04-01 16:48:00,0.4051333315,0.02726199420414296,0.9601694100833509,0.8869992847706598
2022-04-01 17:24:00,0.3531333315,0.030535580122356982,0.9423725038783877,0.8707085677408788
2022-04-01 18:00:00,0.344533325,0.011591714071052913,0.9084747245043765,0.8367699521731531
2022-04-01 18:36:00,0.317600006,0.0697112804550821,0.8936437150964158,0.825771588764761
2022-04-01 19:12:00,0.32696667500000004,0.39422560910164206,0.8970332387966584,0.8315175493301119
2022-04-01 19:48:00,0.3301333315,0.04132231404958677,0.9025424224360563,0.8362527184010293
2022-04-01 20:24:00,0.35890002449999997,0.01948051948051948,0.9042369300490183,0.8245217877519426
2022-04-01 21:00:00,0.3567333375,0.037673070730921965,0.8364403543523622,0.7499153243866203
2022-04-01 21:36:00,0.3736999815,0.06101749490179242,0.7538132777220623,0.6650260949733457
2022-04-01 22:12:00,0.423033325,0.04261028227970376,0.6737289794598409,0.5918216299565895
2022-04-01 22:48:00,0.4298666685,0.016206933562305462,0.6093219274634265,0.5336207063289429
2022-04-01 23:24:00,0.4642666625,0.0381023934742943,0.5673732030305745,0.5121461611288911
2022-04-02 00:00:00,0.4899333495,0.044059246538585374,0.5444912485637721,0.48202679090200107
2022-04-02 00:36:00,0.47850000000000004,0.032521197810454004,0.5449153839413308,0.4947110608003005
2022-04-02 01:12:00,0.5109999695,0.07770741655039175,0.5538135828066526,0.5068338116726849
2022-04-02 01:48:00,0.562200012,0.02892561983471074,0.5436439947572911,0.5096085302149529
