,y_true,DPMRM,DPMRM_LB,DPMRM_UB,DPIRMRM,DPIRMRM_LB,DPIRMRM_UB,DPORMRM,DPORMRM_LB,DPORMRM_UB,DPR2MRM,DPR2MRM_LB,DPR2MRM_UB,GMR
0,112.0,122.18918025521516,102.06368674176625,142.31467376866408,125.4757070264051,103.82863724449437,147.12277680831588,131.04449409008652,102.47630862628942,159.61267955388362,124.38632226407627,87.80368463853425,160.96895988961828,125.8011445831218
1,111.0,126.43207050884878,106.46249517732792,146.40164584036964,125.23956884394609,103.68680181472148,146.79233587317069,131.02780015311907,102.68882961870072,159.36677068753744,126.05160973902842,89.55719770604856,162.54602177200826,121.19144783546534
2,142.0,135.19121483649747,115.23803551200105,155.1443941609939,130.85815107084616,109.31856691096434,152.39773523072802,136.83602490116297,108.48312250455302,165.18892729777295,132.4754328733393,95.98546355933901,168.9654021873396,133.74609276601893
3,122.0,139.1198440578458,119.18183364296114,159.05785447273047,133.3162420066892,111.78134079603277,154.85114321734565,137.67149289970996,109.35152140814435,165.9914643912755,135.29483286367113,98.79481153140847,171.7948541959338,135.29705116644672
4,141.0,136.81207526139895,116.85509420327419,156.76905631952366,131.41870477806475,109.8720425082839,152.9653670478456,135.5800935923655,107.19618769393058,163.96399949080043,134.40978011664993,97.88936045448006,170.93019977881983,126.34690041036504
5,122.0,132.8463281923052,112.94153207944152,152.7511243051689,135.58250487783945,114.05512564158361,157.10988411409534,138.34517951961277,110.01240605096032,166.6779529882652,136.7577814127123,100.2563315324539,173.25923129297072,133.28181918696473
6,165.0,131.7672351283945,111.85214397548208,151.68232628130693,128.28970435930896,106.76126093908165,149.81814777953628,131.80557921209933,103.51851947729759,160.09263894690108,129.7180731291773,93.24280176693952,166.19334449141508,122.3899263846659
7,117.0,134.62068393215492,114.70182265490529,154.53954520940454,131.4442972943789,109.92199248022901,152.96660210852883,135.8184950370396,107.51550762769754,164.12148244638166,133.22956609745535,96.74856946065907,169.71056273425165,133.0038624881903
8,117.0,136.15662693187048,116.2393586765975,156.0738951871434,129.75676018405892,108.2303270645974,151.28319330352048,133.47600985832185,105.20094973266625,161.75106998397746,131.23227124210757,94.7563275281151,167.70821495610008,129.31416415431687
9,131.0,138.91202618691392,118.97087152919909,158.85318084462875,131.8909972233689,110.36098385144435,153.42101059529352,136.74551038760404,108.43240182863765,165.05861894657045,134.05606386829217,97.56431191487756,170.54781582170676,132.0519785736931
10,148.0,138.8657773814971,118.906011796004,158.82554296699027,130.66689586771136,109.12811517702173,152.20567655840094,135.4625469338857,107.12357482321501,163.80151904455644,133.64502786390872,97.14023509434368,170.14982063347375,129.29473942845817
11,134.0,145.5168686659621,125.34491252545847,165.68882480646573,129.0396415877005,107.4266459549138,150.65263722048718,131.911609190694,103.35690778504126,160.4663105963468,132.45202816905697,95.890945701571,169.01311063654293,130.45965242431893
12,140.0,147.0178838093111,126.92531667222966,167.11045094639252,135.34111134435597,113.76142659039243,156.92079609831953,140.47318728840872,111.95970612472914,168.9866684520883,139.5365873482857,102.93439995825207,176.13877473831934,136.60539678620358
13,151.0,148.21709715516124,128.06818439219958,168.36600991812284,137.0828280663738,115.4581537173563,158.70750241539128,143.10252906642324,114.42997101989835,171.77508711294809,142.35867460059785,105.66115275104242,179.05619645015327,141.47633125676992
