,MSE,NumberClu,w1_1,w1_2,w2_1,w2_2,w3_1,w3_2,w4_1,w4_2
0,3.3745311645951097,4,2.420057546380926,-0.30729040936811747,-1.8478634249846468,3.8031898464411413,-0.9311668065708409,4.18027976923822,-1.186868439489446,1.5511509321405919
1,2.540051754160442,5,2.4169666063362474,-0.33445853552453725,-1.7506040300748293,3.790979141819283,-0.9325269032354725,4.1434200643728065,-1.207690134675665,1.6016111614107194
2,3.6855442058446464,4,2.39947930293513,-0.3230035863124558,-1.8296496480635123,3.7895691557010305,-0.8539139849398558,4.261839808432497,-1.224773154868753,1.679752811912022
3,2.229550527699089,4,2.434967769432216,-0.2365543952110424,-1.856598262512801,3.8034204458066116,-0.913001224566616,4.155959070978363,-1.1917418488391707,1.587275718360449
4,3.380473272779797,4,2.412243091268968,-0.3032070034531118,-1.7998183262941376,3.8207504020563112,-0.9070520039604368,4.189505400604971,-1.2197009131838992,1.64368448136018
5,3.2961117100163926,4,2.436555961666317,-0.2174963690562178,-1.8186202804216696,3.798663066866055,-0.8985681803409978,4.240271891437814,-1.1646963907123333,1.5307358337283339
6,2.6769199793649796,4,2.4390500412337963,-0.22742937618864942,-1.7461001343627685,3.7876081231233023,-0.9023680835192216,4.198935457609544,-1.1973294367357412,1.5758424721028832
7,2.6151524821820398,5,2.41948469629992,-0.29023367427882285,-1.888677449697042,3.815207137313262,-0.9200878571223211,4.174864654752215,-1.1684134932350594,1.5784305188586554
8,2.92908122125192,4,2.3829987276645075,-0.3853866349436987,-1.7676608072441289,3.79619256402218,-0.9010362778640103,4.203642621432097,-1.207421325525838,1.588584352508114
9,3.687631608354956,4,2.3712292167443088,-0.36679278333395937,-1.7292359385895035,3.7884192732032753,-0.8788827402473726,4.224756586927542,-1.162729109670626,1.5751551523301615
10,3.8589694021430625,5,2.3712122096012327,-0.4267959051145215,-1.9369417171529753,3.810386628348495,-0.8878922142270755,4.23478241989973,-1.1683965187454284,1.523449940275697
11,3.810812967824934,5,2.4040392194576556,-0.3148094077439587,-1.8386968791237113,3.8168190624307097,-0.9141941723118711,4.202119952225238,-1.1880336804774467,1.5854618988877032
