,MSE,NumberClu,w1_1,w1_2,w2_1,w2_2,w3_1,w3_2,w4_1,w4_2
0,3.9911522559377115,5,2.4523501797165257,-0.5974104873261592,-1.4936677097554323,3.575960197453154,-1.1413137965604534,4.501414553527394,-0.8962273203505667,1.7334802552846096
1,6.897522420272724,6,2.415915440640876,-0.3350558285205154,-1.559860900312241,3.5943702285849057,-0.9977245717247358,4.729735056834773,1.185776631195586,-2.3672708088055954
2,4.385965920353582,5,2.5899295866532657,-0.24666317763064544,-0.051436554019052574,3.3858230282772506,-1.0748151633247855,4.474771774693229,-0.9660010430550984,2.1924528989702816
3,3.376622803906717,6,2.718768987813513,0.039763505925255675,-2.1674854575216957,3.648616494124198,-1.052801809322081,4.477896970261581,-1.1906369905260403,1.5852458347232696
4,8.137813350558542,5,2.4061064393241844,-0.3249472006196686,-1.107937183899772,3.561836218175312,-1.0383893244382603,4.600436245401321,1.1337892300776513,-2.1449099516409995
5,6.88176356833475,5,2.4319119005763548,-0.22924517080120918,-1.3921363000261435,3.554703099008836,-1.1763969573141944,4.273673157479041,1.2250653427069145,-2.158295685765569
6,4.036646441264031,5,2.6968094648688874,-0.04403796454914393,-1.6738787045873817,3.6331612151457207,-1.0500756070564847,4.466953370441833,-0.9284082145933437,1.8534597850878203
7,4.158846919464472,6,2.617258173213717,-0.16424028666109808,-2.0841442449339875,3.6468659832103403,-1.199044704687485,4.21495385588485,-0.8807381514644541,1.7554295431458344
8,7.565194282923167,6,2.365438407873717,-0.42385600685207947,-2.099089039581414,3.669135958626717,-1.178333378814924,4.340987860327273,0.9452149471512791,-2.0357786176764674
9,5.1611858630638165,5,2.605477658895881,-0.255602802683777,-1.099968484161543,3.5106092073099036,-1.2299080651604464,4.17513149792294,-0.2789684087889938,0.5797443196284142
10,6.035537427895427,5,2.370609032946646,-0.42074780429570796,-1.9548286314264263,3.8056900999041257,-0.887405505690718,4.233397421352496,-1.1718472600841388,1.5289344846932469
11,7.131761970951556,6,2.4088758293254604,-0.29968840247010264,-1.7013902966088774,3.6470841525931212,-1.2273120271203102,4.19078200133031,1.0998439653720309,-2.5117187930672156
12,4.284597909046761,5,2.617722304398464,-0.21664023636751756,-1.7043817786264537,3.625798007547995,-0.7923554549055649,5.020268405970434,-0.8923720444985667,1.876390692317142
13,8.91078499178112,5,2.409137916831763,-0.2824850482686967,-1.535210161344487,3.555672459188091,-0.9138844990258309,4.174561513484147,1.0270566251753361,-1.6571908286362156
14,8.845642100870917,5,2.39928816336468,-0.33414000184764786,-1.6565080399413974,3.6498725487226684,-1.211867570196138,4.3040306681419676,0.9689592159690553,-2.262176530696199
15,4.17391054721325,5,3.260793682614618,1.4220812675987375,-2.1390828562272266,3.6773950005594305,-1.219272319571753,4.1285920739943265,-1.1811201103320135,1.5499550799926995
16,7.472385128236536,5,2.390558093862608,-0.3144922818986418,-1.0015333173167713,3.543552578987023,-0.9474401292856243,4.749850107168931,1.210073187043638,-1.9368443084519227
17,7.42969510073185,6,2.4024276458029665,-0.2924523314713031,-0.9328944044312386,3.5274461736839644,-1.2197414232279258,4.307505196824347,0.890524775363365,-1.5893764853584202
