,MSE,NumberClu
0,8.387745275877435,6
1,8.994381526970663,5
2,7.113614279122856,6
3,8.219135579492718,5
4,5.913441640054774,6
5,4.926188213505466,7
6,8.145037510347539,7
7,7.596727544495122,5
8,9.67266544333871,5
9,9.585447525862323,5
10,9.222777764464311,7
11,6.970128078332819,6
12,6.6006842071163945,5
13,9.781591964563436,5
14,7.157018403012512,5
15,6.942465998309615,6
16,4.677790865005356,5
17,4.359429358816859,6
18,6.307677302408042,7
19,7.625216840275407,5
20,8.33471892442517,6
21,12.557185151816075,7
22,9.665812687566088,5
23,7.250854530192054,5
24,8.34372327650991,5
25,9.415938057597517,7
26,7.994185671051287,5
27,6.847989414160219,5
28,7.854107769417491,5
29,7.102631052349941,5
30,6.851849827313158,6
31,5.054712372798334,7
32,8.77515117083841,7
33,3.963237978852135,6
34,5.61054452003189,7
35,4.2626221266661135,5
36,7.4879621318267935,5
37,8.33960581086908,6
38,8.254255254194021,6
39,9.935893927923466,5
40,7.678112898031298,5
41,7.793970308232806,7
42,9.10213739416842,6
43,6.979897445747955,6
44,8.245415536366277,5
45,7.863488695001971,5
46,8.099535879258505,6
47,6.383847639206092,6
48,6.828319254646954,7
49,8.399542260848378,6
