,MSE,NumberClu,w1_1,w1_2,w2_1,w2_2,w3_1,w3_2,w4_1,w4_2
0,3.285054482093153,5,2.4164814093757867,-0.3162414105194204,-1.8397175573645679,3.802077950387205,-0.9310652866865002,4.180493072929051,-1.181597789592051,1.534749495832081
1,2.72347327749601,6,2.4160497184238117,-0.3349783420531002,-1.7506493807653623,3.791038155465772,-0.9322920812739692,4.14413789130492,-1.2067047760715308,1.5996535943536978
2,3.9912238053964013,5,2.3996207975347295,-0.32247971117418406,-1.829597593114567,3.789633734038881,-0.8558976273410224,4.257023575855503,-1.2220894636997552,1.6701110261468057
3,2.8911010713899286,5,2.4365049157560263,-0.2328016401254603,-1.857676494359733,3.803237710405979,-0.9134034582398612,4.1526099192904775,-1.192661508404487,1.5903309504311829
4,3.2170503071067373,5,2.412270520176948,-0.30470921064947,-1.800099434010792,3.820784951954573,-0.907370768009042,4.189162772803768,-1.224175792471474,1.6526118150620772
5,6.394653231928717,5,2.4320246976440227,-0.22896701881249198,-1.8173560474790804,3.7984285766573493,-0.8985342878224472,4.240422821526888,1.1561911944944387,-2.034440855425716
6,3.3348262218248004,5,2.4391101696281554,-0.22728606394138143,-1.7563715714474852,3.7885700000326956,-0.9070023082653899,4.191369411301522,-1.197717512796166,1.5784397279366122
7,3.5851732779870633,6,2.4199335118995924,-0.2890611458545762,-1.8803157764961278,3.8146591180154963,-0.9191232126705606,4.174702544896127,-1.1683903785010012,1.5783867387134047
8,5.453091819642047,6,2.3949489874261984,-0.6906908231829785,-1.919264360961205,3.6603777019501282,-1.1397266585735815,4.326290780042251,-0.15151640065065516,-0.19803572313934087
9,4.007977494052319,5,2.3711483622977343,-0.3670954042277748,-1.7286687801211065,3.7883588363504432,-0.8773539209402933,4.2290184340606,-1.162951425830977,1.5767482017657903
10,6.049652902303574,5,2.3705790091249095,-0.42109440778869245,-1.9543358673484772,3.805992824207626,-0.8871728745407056,4.233680759638668,-1.1717558866640636,1.528852028477532
11,4.577640340268152,7,2.4070995787669336,-0.30549222084628347,-1.8496048727565304,3.817848473161606,-0.9348648228410629,4.162266040783351,-1.2004293486816116,1.60864207173219
12,3.4637513292855546,5,2.440671866975615,-0.22535299322438018,-1.8087784134051015,3.7924716599337702,-0.8742318139706186,4.2512043969638125,-1.1932485652209948,1.6412388895913212
